ChangeSet	RunIndex	Tool	Size	Query	PhaseName	Iteration	MetricName	MetricValue
fixed	1	Sigma	4	PosLength	check	0	memory	35370720
fixed	1	Sigma	4	PosLength	recheck	1	time	10086929
fixed	1	Sigma	4	PosLength	recheck	1	memory	36691920
fixed	1	Sigma	4	PosLength	recheck	2	time	6926812
fixed	1	Sigma	4	PosLength	recheck	2	memory	38013120
fixed	1	Sigma	4	PosLength	recheck	3	time	7034463
fixed	1	Sigma	4	PosLength	recheck	3	memory	38013120
fixed	1	Sigma	4	PosLength	recheck	4	time	5790635
fixed	1	Sigma	4	PosLength	recheck	4	memory	39334344
fixed	1	Sigma	4	PosLength	recheck	5	time	5242096
fixed	1	Sigma	4	PosLength	recheck	5	memory	39334344
fixed	1	Sigma	4	PosLength	repair	1	time	2453434
fixed	1	Sigma	4	PosLength	repair	1	memory	36691920
fixed	1	Sigma	4	PosLength	repair	2	time	102875
fixed	1	Sigma	4	PosLength	repair	2	memory	36691920
fixed	1	Sigma	4	PosLength	repair	3	time	93134
fixed	1	Sigma	4	PosLength	repair	3	memory	38013120
fixed	1	Sigma	4	PosLength	repair	4	time	408620
fixed	1	Sigma	4	PosLength	repair	4	memory	38013120
fixed	1	Sigma	4	PosLength	repair	5	time	95465
fixed	1	Sigma	4	PosLength	repair	5	memory	39334344
fixed	2	Sigma	4	PosLength	check	0	rss	280
fixed	2	Sigma	4	PosLength	recheck	1	rss	270
fixed	2	Sigma	4	PosLength	recheck	2	rss	260
fixed	2	Sigma	4	PosLength	recheck	3	rss	250
fixed	2	Sigma	4	PosLength	recheck	4	rss	240
fixed	2	Sigma	4	PosLength	recheck	5	rss	230
fixed	2	Sigma	4	PosLength	read	0	time	188450791
fixed	2	Sigma	4	PosLength	read	0	memory	16059192
fixed	2	Sigma	4	PosLength	check	0	time	4761279
fixed	2	Sigma	4	PosLength	check	0	memory	17330912
fixed	2	Sigma	4	PosLength	recheck	1	time	4201843
fixed	2	Sigma	4	PosLength	recheck	1	memory	17330912
fixed	2	Sigma	4	PosLength	recheck	2	time	4173014
fixed	2	Sigma	4	PosLength	recheck	2	memory	17330912
fixed	2	Sigma	4	PosLength	recheck	3	time	4200120
fixed	2	Sigma	4	PosLength	recheck	3	memory	18602624
fixed	2	Sigma	4	PosLength	recheck	4	time	4126273
fixed	2	Sigma	4	PosLength	recheck	4	memory	18602624
fixed	2	Sigma	4	PosLength	recheck	5	time	4188322
fixed	2	Sigma	4	PosLength	recheck	5	memory	19874352
fixed	2	Sigma	4	PosLength	repair	1	time	149152
fixed	2	Sigma	4	PosLength	repair	1	memory	17330912
fixed	2	Sigma	4	PosLength	repair	2	time	94827
fixed	2	Sigma	4	PosLength	repair	2	memory	17330912
fixed	2	Sigma	4	PosLength	repair	3	time	69928
fixed	2	Sigma	4	PosLength	repair	3	memory	17330912
fixed	2	Sigma	4	PosLength	repair	4	time	67879
fixed	2	Sigma	4	PosLength	repair	4	memory	18602624
fixed	2	Sigma	4	PosLength	repair	5	time	67958
fixed	2	Sigma	4	PosLength	repair	5	memory	18602624
fixed	3	Sigma	4	PosLength	check	0	rss	280
fixed	3	Sigma	4	PosLength	recheck	1	rss	270
fixed	3	Sigma	4	PosLength	recheck	2	rss	260
fixed	3	Sigma	4	PosLength	recheck	3	rss	250
fixed	3	Sigma	4	PosLength	recheck	4	rss	240
fixed	3	Sigma	4	PosLength	recheck	5	rss	230
fixed	3	Sigma	4	PosLength	read	0	time	130883155
fixed	3	Sigma	4	PosLength	read	0	memory	13108136
fixed	3	Sigma	4	PosLength	check	0	time	4466590
fixed	3	Sigma	4	PosLength	check	0	memory	13108136
fixed	3	Sigma	4	PosLength	recheck	1	time	4058559
fixed	3	Sigma	4	PosLength	recheck	1	memory	14379848
fixed	3	Sigma	4	PosLength	recheck	2	time	3969308
fixed	3	Sigma	4	PosLength	recheck	2	memory	14379848
fixed	3	Sigma	4	PosLength	recheck	3	time	4171904
fixed	3	Sigma	4	PosLength	recheck	3	memory	14379848
fixed	3	Sigma	4	PosLength	recheck	4	time	3971453
fixed	3	Sigma	4	PosLength	recheck	4	memory	15651576
fixed	3	Sigma	4	PosLength	recheck	5	time	3894643
fixed	3	Sigma	4	PosLength	recheck	5	memory	15651576
fixed	3	Sigma	4	PosLength	repair	1	time	178578
fixed	3	Sigma	4	PosLength	repair	1	memory	13108136
fixed	3	Sigma	4	PosLength	repair	2	time	83266
fixed	3	Sigma	4	PosLength	repair	2	memory	14379848
fixed	3	Sigma	4	PosLength	repair	3	time	116499
fixed	3	Sigma	4	PosLength	repair	3	memory	14379848
fixed	3	Sigma	4	PosLength	repair	4	time	105639
fixed	3	Sigma	4	PosLength	repair	4	memory	14379848
fixed	3	Sigma	4	PosLength	repair	5	time	66833
fixed	3	Sigma	4	PosLength	repair	5	memory	15651576
fixed	4	Sigma	4	PosLength	check	0	rss	280
fixed	4	Sigma	4	PosLength	recheck	1	rss	270
fixed	4	Sigma	4	PosLength	recheck	2	rss	260
fixed	4	Sigma	4	PosLength	recheck	3	rss	250
fixed	4	Sigma	4	PosLength	recheck	4	rss	240
fixed	4	Sigma	4	PosLength	recheck	5	rss	230
fixed	4	Sigma	4	PosLength	read	0	time	89488525
fixed	4	Sigma	4	PosLength	read	0	memory	12449992
fixed	4	Sigma	4	PosLength	check	0	time	4310989
fixed	4	Sigma	4	PosLength	check	0	memory	12449992
fixed	4	Sigma	4	PosLength	recheck	1	time	3933002
fixed	4	Sigma	4	PosLength	recheck	1	memory	13721704
fixed	4	Sigma	4	PosLength	recheck	2	time	3916782
fixed	4	Sigma	4	PosLength	recheck	2	memory	13721704
fixed	4	Sigma	4	PosLength	recheck	3	time	3940121
fixed	4	Sigma	4	PosLength	recheck	3	memory	13721704
fixed	4	Sigma	4	PosLength	recheck	4	time	3902752
fixed	4	Sigma	4	PosLength	recheck	4	memory	14993424
fixed	4	Sigma	4	PosLength	recheck	5	time	3902147
fixed	4	Sigma	4	PosLength	recheck	5	memory	14993424
fixed	4	Sigma	4	PosLength	repair	1	time	141411
fixed	4	Sigma	4	PosLength	repair	1	memory	12449992
fixed	4	Sigma	4	PosLength	repair	2	time	95483
fixed	4	Sigma	4	PosLength	repair	2	memory	13721704
fixed	4	Sigma	4	PosLength	repair	3	time	63143
fixed	4	Sigma	4	PosLength	repair	3	memory	13721704
fixed	4	Sigma	4	PosLength	repair	4	time	81182
fixed	4	Sigma	4	PosLength	repair	4	memory	13721704
fixed	4	Sigma	4	PosLength	repair	5	time	119783
fixed	4	Sigma	4	PosLength	repair	5	memory	14993424
fixed	5	Sigma	4	PosLength	check	0	rss	280
fixed	5	Sigma	4	PosLength	recheck	1	rss	270
fixed	5	Sigma	4	PosLength	recheck	2	rss	260
fixed	5	Sigma	4	PosLength	recheck	3	rss	250
fixed	5	Sigma	4	PosLength	recheck	4	rss	240
fixed	5	Sigma	4	PosLength	recheck	5	rss	230
fixed	5	Sigma	4	PosLength	read	0	time	77120461
fixed	5	Sigma	4	PosLength	read	0	memory	12449928
fixed	5	Sigma	4	PosLength	check	0	time	4357795
fixed	5	Sigma	4	PosLength	check	0	memory	12449928
fixed	5	Sigma	4	PosLength	recheck	1	time	4008728
fixed	5	Sigma	4	PosLength	recheck	1	memory	13721648
fixed	5	Sigma	4	PosLength	recheck	2	time	3933029
fixed	5	Sigma	4	PosLength	recheck	2	memory	13721648
fixed	5	Sigma	4	PosLength	recheck	3	time	3909002
fixed	5	Sigma	4	PosLength	recheck	3	memory	13721648
fixed	5	Sigma	4	PosLength	recheck	4	time	3913516
fixed	5	Sigma	4	PosLength	recheck	4	memory	14993360
fixed	5	Sigma	4	PosLength	recheck	5	time	3898451
fixed	5	Sigma	4	PosLength	recheck	5	memory	14993360
fixed	5	Sigma	4	PosLength	repair	1	time	153612
fixed	5	Sigma	4	PosLength	repair	1	memory	12449928
fixed	5	Sigma	4	PosLength	repair	2	time	68373
fixed	5	Sigma	4	PosLength	repair	2	memory	13721648
fixed	5	Sigma	4	PosLength	repair	3	time	64701
fixed	5	Sigma	4	PosLength	repair	3	memory	13721648
fixed	5	Sigma	4	PosLength	repair	4	time	87344
fixed	5	Sigma	4	PosLength	repair	4	memory	13721648
fixed	5	Sigma	4	PosLength	repair	5	time	57055
fixed	5	Sigma	4	PosLength	repair	5	memory	14993360
fixed	1	Sigma	8	PosLength	check	0	rss	549
